Specialty	No. of Programs	Positions Offered	Unfilled Programs	MD Senior Applicants	Total Applicants	MD Senior Matches	Total Matches	MD Senior % Filled	Total % Filled	MD Senior Ranked Positions	Total Ranked Positions	Year	Class
Anesthesiology	109	919	8	1,177	1,721	725	897	78.9	97.6	9,203	11,315	2012	PGY1
Child Neurology	71	99	17	87	147	58	79	58.6	79.8	546	699	2012	PGY1
Dermatology	10	23	0	153	164	22	23	95.7	100.0	253	269	2012	PGY1
Emergency Medicine	153	1,668	0	1,498	2,238	1,335	1,668	80.0	100.0	16,072	19,374	2012	PGY1
Emergency Med-Family Med	2	4	0	12	28	2	4	50.0	100.0	15	32	2012	PGY1
Family Medicine	457	2,740	66	1,519	5,421	1,322	2,591	48.2	94.6	12,589	28,213	2012	PGY1
Family Med-Preventive Med	2	6	1	17	34	1	4	16.7	66.7	19	37	2012	PGY1
Internal Medicine (Categorical)	389	5,277	21	3,451	9,806	2,941	5,226	55.7	99.0	31,863	58,792	2012	PGY1
Medicine-Dermatology	8	9	1	31	33	8	8	88.9	88.9	79	82	2012	PGY1
Medicine-Emergency Med	11	26	4	40	70	17	22	65.4	84.6	155	205	2012	PGY1
Medicine-Family Medicine	2	4	0	11	21	2	4	50.0	100.0	13	24	2012	PGY1
Medicine-Medical Genetics	1	1	0	3	5	1	1	100.0	100.0	3	5	2012	PGY1
Medicine-Neurology	2	2	0	5	7	2	2	100.0	100.0	6	9	2012	PGY1
Medicine-Pediatrics	77	362	10	342	560	276	344	76.2	95.0	2,840	3,502	2012	PGY1
Medicine-Preliminary (PGY-1 Only)	307	1,861	48	3,345	5,054	1,427	1,738	76.7	93.4	36,050	43,318	2012	PGY1
Medicine-Preventive Med	5	5	1	24	108	2	4	40.0	80.0	31	143	2012	PGY1
Medicine-Primary	56	311	3	718	2,206	186	300	59.8	96.5	1,868	3,760	2012	PGY1
Medicine-Psychiatry	10	20	1	25	63	12	18	60.0	90.0	77	129	2012	PGY1
Neurodevelopmental Disabilities	5	3	2	5	6	0	1	0.0	33.3	9	10	2012	PGY1
Neurological Surgery	98	196	2	203	318	170	194	86.7	99.0	2,756	3,261	2012	PGY1
Neurology	66	292	3	372	801	173	289	59.2	99.0	1,862	2,980	2012	PGY1
Obstetrics-Gynecology	251	1,240	11	977	1,723	913	1,223	73.6	98.6	10,713	14,513	2012	PGY1
Orthopedic Surgery	161	682	0	845	1,046	641	682	94.0	100.0	8,671	9,498	2012	PGY1
Otolaryngology	107	285	2	342	390	277	283	97.2	99.3	3,636	3,775	2012	PGY1
Pathology	148	521	33	285	832	262	466	50.3	89.4	2,396	4,679	2012	PGY1
Pediatrics (Categorical)	190	2,475	12	1,918	3,732	1,732	2,443	70.0	98.7	18,143	25,677	2012	PGY1
Pediatrics-Anesthesiology	4	7	0	16	16	7	7	100.0	100.0	35	35	2012	PGY1
Pediatrics-Emergency Med	3	7	0	15	22	6	7	85.7	100.0	25	33	2012	PGY1
Pediatrics-Medical Genetics	12	7	1	12	17	4	6	57.1	85.7	34	40	2012	PGY1
Pediatrics-P M & R	3	2	0	6	6	2	2	100.0	100.0	11	11	2012	PGY1
Pediatrics-Preliminary	52	55	5	142	190	43	48	78.2	87.3	676	814	2012	PGY1
Pediatrics-Primary	13	67	2	280	916	27	64	40.3	95.5	378	1,276	2012	PGY1
Peds/Psych/Child Psych	9	18	1	22	39	13	17	72.2	94.4	88	129	2012	PGY1
Physical Medicine & Rehab	26	86	0	195	373	51	86	59.3	100.0	663	1,102	2012	PGY1
Plastic Surgery (Integrated)	45	101	3	141	177	87	97	86.1	96.0	1,170	1,314	2012	PGY1
Preventive Medicine	4	4	2	2	16	1	2	25.0	50.0	2	18	2012	PGY1
Psychiatry (Categorical)	189	1,118	22	680	2,008	616	1,080	55.1	96.6	5,784	10,942	2012	PGY1
Psychiatry-Family Medicine	6	10	1	24	30	8	8	80.0	80.0	52	61	2012	PGY1
Psychiatry-Neurology	2	2	1	7	9	1	1	50.0	50.0	9	11	2012	PGY1
Radiation Oncology	7	15	0	130	135	15	15	100.0	100.0	207	213	2012	PGY1
Radiology-Diagnostic	35	135	3	567	691	90	124	66.7	91.9	1,552	1,839	2012	PGY1
Surgery (Categorical)	242	1,146	2	1,258	2,253	914	1,143	79.8	99.7	12,802	16,206	2012	PGY1
Surgery-Preliminary (PGY-1 Only)	291	1,221	140	1,114	1,967	478	737	39.1	60.4	2,518	4,891	2012	PGY1
Thoracic Surgery	17	20	0	59	80	19	20	95.0	100.0	261	324	2012	PGY1
